Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Date,Bulan
Over 51,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2018-12-11,2018-12
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - no lighting,Raining,Rollover,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No distancing,2,2017-09-19,2017-09
Under 18,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",Moving Backward,2,2017-06-16,2017-06
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,2020-10-16,2020-10
Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,2020-07-21,2020-07
31-50,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Getting off the vehicle improperly,1,2018-02-12,2018-02
Over 51,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,1,2017-10-01,2017-10
Over 51,Male,Elementary school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right,2,2017-01-29,2017-01
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Improper parking,2,2019-07-16,2019-07
18-30,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Other,2,2020-05-05,2020-05
31-50,Male,Elementary school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the left,1,2018-01-25,2018-01
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Rollover,Going straight,Crossing from driver's nearside,Changing lane to the right,2,2017-09-21,2017-09
18-30,Male,Junior high school,Employee,Below 1yr,Double carriageway (median),Crossing,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Unknown or other,No priority to pedestrian,2,2019-02-02,2019-02
31-50,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Overspeed,2,2019-03-14,2019-03
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,2017-11-06,2017-11
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2,2020-11-27,2020-11
18-30,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Other,Not a Pedestrian,Changing lane to the right,2,2018-04-21,2018-04
31-50,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,2017-03-26,2017-03
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,2019-12-19,2019-12
18-30,Male,Junior high school,Owner,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,2019-12-16,2019-12
31-50,Male,High school,Employee,Below 1yr,other,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,2017-01-29,2017-01
Over 51,Male,Junior high school,Employee,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2017-05-25,2017-05
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2019-07-22,2019-07
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,2017-03-29,2017-03
31-50,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2017-06-12,2017-06
31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right,2,2020-06-02,2020-06
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Getting off the vehicle improperly,2,2019-03-23,2019-03
18-30,Male,Illiterate,Employee,2-5yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Other,2,2020-10-02,2020-10
Under 18,Male,Junior high school,Employee,5-10yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,2020-08-08,2020-08
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking,2,2018-01-16,2018-01
Under 18,Male,Elementary school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,2018-05-17,2018-05
18-30,Male,Elementary school,Employee,5-10yr,other,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the right,2,2018-08-04,2018-08
18-30,Female,Junior high school,Employee,5-10yr,other,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Driving carelessly,2,2017-06-17,2017-06
31-50,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Entering a junction,Unknown or other,Changing lane to the right,2,2017-05-04,2017-05
18-30,Male,Elementary school,Owner,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Overtaking,2,2019-08-02,2019-08
31-50,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Other,2,2017-09-05,2017-09
18-30,Male,Junior high school,Employee,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Unknown or other,Driving to the left,2,2017-10-31,2017-10
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving at high speed,2,2018-01-22,2018-01
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the right,2,2020-01-08,2020-01
Over 51,Male,Elementary school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No distancing,2,2019-12-21,2019-12
31-50,Male,Above high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Entering a junction,Not a Pedestrian,No priority to vehicle,2,2018-07-03,2018-07
31-50,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,2017-07-25,2017-07
31-50,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,2018-07-04,2018-07
Under 18,Male,Junior high school,Employee,2-5yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2,2018-08-08,2018-08
18-30,Male,Junior high school,Employee,2-5yr,other,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,2018-05-12,2018-05
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,2017-07-25,2017-07
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,2018-06-20,2018-06
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2019-02-12,2019-02
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,2020-11-23,2020-11
Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2018-09-29,2018-09
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,2020-05-21,2020-05
Under 18,Male,Junior high school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,2017-01-20,2017-01
18-30,Male,Elementary school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,2017-07-19,2017-07
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,2,2018-11-23,2018-11
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,0,2020-10-31,2020-10
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,2017-10-03,2017-10
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,2017-03-09,2017-03
18-30,Male,Elementary school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2017-09-03,2017-09
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2017-12-23,2017-12
18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Moving Backward,Not a Pedestrian,Driving carelessly,2,2020-12-26,2020-12
31-50,Male,Above high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2,2019-01-30,2019-01
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Windy,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,2017-06-15,2017-06
18-30,Male,Junior high school,Employee,Below 1yr,other,O Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,1,2020-10-05,2020-10
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,2020-10-02,2020-10
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Going straight,Crossing from driver's nearside,Changing lane to the right,2,2018-06-16,2018-06
Under 18,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2018-04-04,2018-04
18-30,Male,Above high school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2018-07-11,2018-07
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Overturning,2,2020-10-14,2020-10
31-50,Male,High school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to vehicle,2,2017-05-03,2017-05
18-30,Male,High school,Employee,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to pedestrian,2,2018-07-11,2018-07
31-50,Male,High school,Employee,2-5yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,2019-10-27,2019-10
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,2019-03-05,2019-03
